#separator:tab
#html:false
tic	ofrivillig muskelryckning
lamentation	jämmer
bestört	förfärad
kardinal	hög katolsk präst
triton	havsgud  Havsgud i grekisk mytologi, son till Poseidon och Amfitrite, ofta avbildad som en man med fiskstjärt som blåser i en snäcka.   eller  Planetens Neptunus största måne.
endotermisk	reaktion under upptagande av värme
tautologi	onödig upprepning
intuitiv	genom föraning
förfäkta	kämpa och tala för
malakit	en kristall
hypotek	pant för lån
mitra	hög påvemössa
specifik	särskild
grovhuggen	med kraftiga drag
kampanil	klocktorn
uppknäppt	glad
konstruktivism	all verklighet är subjektiv
gallicism	franskpåverkat språkuttryck
fotsid	som når till fötterna
laber	om svag vind
bläs	ljus pannfläck på häst
komma på skam	inte uppfyllas
i gåsmarsch	på rad efter varandra
futuristisk	framtidstänkande
anlägga	bygga; tillämpa; lägga an
favorisera	gynna
etnologi	läran om folkkultur
klä skott för något	få skulden
patriark	Manlig överhuvud i en familj, släkt eller annan gemenskap; även titel för högt uppsatt kyrklig ledare.    Familjeöverhuvud, fadersgestalt, stamfader, överhuvud, patriarkal ledare, kyrkofurste, överstepräst    Släktens patriark samlade alla barn och barnbarn till fest i den gamla gården.
pektin	gelebildande ämne i sylt
kajka	ro planlöst
jour	jobb utanför vanlig tid
vinna laga kraft	oöverklagbart verkställas
taverna	värdshus
officiös	halvofficiell
förargligt	förtretligt
föregiva	skylla på
kappas	tävla
atypisk	avvikande
Kneippkur	Hälsobehandling enligt Sebastian Kneipps metod, där växelvis varma och kalla bad används i medicinskt eller terapeutiskt syfte.  Vattenkur, hälsokur, spabehandling, balneoterapi, hydroterapi, kallvattenkur, Kneipps behandling  Läkaren rekommenderade en Kneippkur för att stärka patientens cirkulation.
eldfängd	explosiv
snacksalig	pratsjuk
kosa	riktning
surpris	överraskning
näver	björkbark
vertebrat	ryggradsdjur
ocker	oskäligt höga priser
frondör	oppositionsman
yster	glad och pigg
enaktare	skådespel i en akt
portabel	bärbar
samma skrot och korn	lika dåliga
mystifiera	förbrylla
bevekelsegrund	motiv
brailleskrift	punktskrift
dussin	tolv stycken
triera	rensa
bryologi	mosslära
gyrometer	rotations- hastighetsmätare
maskopi	hemligt samförstånd
laktos	mjölksocker
legat	påvligt sändebud
halvfabrikat	halvfärdig vara
probabel	sannolik
krupp	andningssjukdom
ligga i lä	inte vara lika bra
sporadisk	oregelbunden
desorienterad	vilsen
adhesiv	vidhäftande
befryndad	besläktad
oknytt	små tomtar och troll
arborist	trädvårdare
kvalifikation	lämplig kompetens
gump	bakdel på djur
passlig	lämplig
pretentiös	anspråksfull
oratorium	musikaliskt verk
karess	smekning
stimulantia	sinnesförstärkande medel
uppehälle	försörjning
bärga sig	behärska sig
sjok	stort stycke
segregera	hålla isär folkgrupper
snöd	tarvlig
stäv	fartygs avslutning
gengälda	återge en tjänst
vestal	kysk kvinna
barmhärtig	nådig
långmodig	tålmodig
baryton	röstläge i körsång
exekvera	Verkställa något, särskilt en dom, order eller plan.   excecute (eng)    Verkställa, utföra, genomföra, effektuera, implementera, realisera, expediera    Domstolen beslutade att exekvera straffet omedelbart.
arkivalier	arkivhandlingar
värv	sysselsättning
formalitet	regelfråga; onödighet
sovra	gallra
tälja	räkna upp
sinnebild	symbol
invektiv	skällsord
färga	influera och prägla
brikett	bit för eldning
brandskatta	plundra
försmädlig	retsam
fösa	driva framför sig
benägen	välvillig
emedan	eftersom
echaufferad	upphettad
lättledd	medgörlig
ouvertyr	musikalisk inledning
imbecill	mycket dum
skärmytsling	mindre strid
antibiotika	bakteriedödande medel
aviarium	fågelhus
matrona	fetlagd kvinna
pejorativ	nedsättande
vördnad	respekt
följaktligen	och därför
lumpen	elak
beklagligtvis	dessvärre
handräckning	hjälp
gästspel	kort besök
blidka	göra mindre arg
filial	avdelning på annan plats
rakryggad	ärlig, karaktärsfast
damast	enfärgat vävtyg
agglomerera	hopgyttra
detaljhandel	försäljn. till konsument
sarv	rentjur
sammelsurium	virrvarr
hiva	hissa upp
restituera	återbetala
infiltration	inträngning
satt	kortväxt och kraftigt byggd
vimsig	småfjollig
ha skygglappar	blunda för verkligheten
pläd	liten filt
etologi	läran om djurbeteende
modus vivendi	sätt att leva
amfibiebil	vatten och landbil
pocka på	kräva
catgut	kirurgisk sytråd
formidabel	imponerande
betuttad	bekymrad; förtjust i
helgjuten	gedigen
konsiliant	medgörlig
partiell	delvis
möda sig	anstränga sig
socialisera	anpassa till samhället
skälmaktig	lurig och illmarig
optimal	så bra som möjligt
pultron	feg stackare
residera	vara bosatt
adekvat	lämplig, passande
bliga	stirra
endräkt	samförstånd
synagoga	judisk gudstjänstlokal
ödsla	slösa bort
kråma sig	göra sig till   Att stolt sträcka på sig eller göra sig till, ofta för att imponera.    Stoltsera, skryta, briljera, pråla, göra sig till, självhävdelse, ge akt på sig själv    Han kråmade sig inför publiken som om han vore huvudpersonen på scenen.
förpakta	arrendera ut
fosforescent	självlysande
botanisera	välja och plocka
försträcka	låna ut
utrensa	bestraffa för politisk läggning
betryckt	tyngd av bekymmer
bruklig	vanlig
gällen	halvsur
resolvera	bestämma
tiptop	utmärkt
bära sig	löna sig
banalitet	vardaglighet
eldprov	svår utmaning
konspiration	sammansvärjning
resonans	genklang, medsvängning
inalles	sammanlagt
rangera	ordna
skriftställare	författare
aveny	bred gata
debitera	påföra som skuld
furste	titel
exklamation	utrop
öda	slösa med
immobil	svårförflyttad
stadgad	föreskriven
autonom	självständig
brasserie	restaurang
hedonism	med njutning som mål
ömsint	godhjärtad
eldorado	lyckoland
borgensman	löftesman
rotlös	vilsen
sauna	bastu
fullmakt	rätt att företräda någon
parera	avvärja
famös	beryktad
lågmäld	tyst
förmäla	berätta
oförblommerad	rakt på sak
förleda	lura
sutenör	hallick
transparent	genomskinlig
ändamålsenlig	praktisk
andefattig	utan idéer, tråkig
divan	låg soffa
luminiscens	ljusutstrålning
ärevördig	vördnadsvärd
genes	utveckling
kotteri	slutet sällskap
uppbjuda	mobilisera
probera	pröva
vidlåda	häfta vid
raffig	flott
flau	trög
aerodynamik	läran om gasers rörelse
minuskel	liten bokstav
kofångare	stötskydd på bil
laminera	plasta in papper
sjåpig	tillgjort blyg
kurtisera	uppvakta
finkel	hembränt
monsieur	herr
båk	sjömärke
klosett	toalett
maskulin	manlig
mättsam	mättande
anhang	följe
mistlur	siren
disputera	tvista
villervalla	oordning
representativ	typisk
mol	helt
croissant	smördegsbröd
parafras	omskrivning
toastmaster	presentatör vid middag
blot	fornnordisk offerrit
visionär	person med framtidsidéer
batalj	fältslag
duffel	ytterrock
ge sig till tåls	lugnt vänta
beslå	ertappa
affix	förstavelse
black om foten	hinder
korporation	sammanslutning
mondial	världsomfattande
kvadrant	stjärninstrument; fjärdedel av koord.system
kanalisera	leda någonstans
löpsk	brunstig
sätta en rova	ramla omkull
anstränga	trötta
herbicid	ogräsmedel
mastig	kraftig
hövisk	artig och ridderlig
influens	påverkan
attest	intyg
karmosin	röd färg   Purpurröd, scharlakansröd, vinröd, blodröd, crimson, karmin, rubinröd   Crimson
